I	   6.56200	    a	  15.08870	  -0.00001	  63.66846	  -2.99990    b	  20.76599	  -0.00004	   0.00000	  -2.49996
O	   7.06800	    a	  15.08990	  -0.00001	  71.30444	  -2.99988    b	  20.74285	  -0.00016	  10.49341	  -2.50126
O	   7.57400	    a	  15.09043	  -0.00001	  78.94019	  -2.99987    b	  20.74278	  -0.00016	  20.98608	  -2.50268
O	   8.09200	    a	  15.09067	  -0.00001	  86.75732	  -2.99985    b	  20.74291	  -0.00016	  31.72754	  -2.50414
O	   8.59200	    a	  15.09070	  -0.00002	  94.30273	  -2.99983    b	  20.74284	  -0.00016	  42.09595	  -2.50555
O	   9.09200	    a	  15.09070	  -0.00002	 101.84814	  -2.99981    b	  20.74285	  -0.00016	  52.46411	  -2.50696
O	   9.59200	    a	  15.09070	  -0.00002	 109.39355	  -2.99980    b	  20.74288	  -0.00016	  62.83228	  -2.50837
O	  10.09200	    a	  15.09070	  -0.00002	 116.93896	  -2.99978    b	  20.74291	  -0.00016	  73.20068	  -2.50977
O	  10.59200	    a	  15.09070	  -0.00002	 124.48413	  -2.99976    b	  20.74289	  -0.00016	  83.56885	  -2.51118
O	  11.09200	    a	  15.09070	  -0.00002	 132.02954	  -2.99975    b	  20.74286	  -0.00016	  93.93701	  -2.51259
O	  11.59200	    a	  15.09070	  -0.00003	 139.57495	  -2.99973    b	  20.74288	  -0.00016	 104.30518	  -2.51400
O	  12.09200	    a	  15.09070	  -0.00003	 147.12036	  -2.99971    b	  20.74291	  -0.00016	 114.67358	  -2.51540
O	  12.59200	    a	  15.09070	  -0.00003	 154.66577	  -2.99970    b	  20.74289	  -0.00016	 125.04175	  -2.51681
O	  13.09200	    a	  15.09070	  -0.00003	 162.21118	  -2.99972    b	  20.74281	  -0.00016	 135.40991	  -2.51822
O	  13.59200	    a	  15.09070	  -0.00003	 169.75659	  -2.99970    b	  20.74288	  -0.00016	 145.77808	  -2.51963
O	  14.09200	    a	  15.09070	   0.00090	 177.37105	  -3.00702    b	  20.74294	  -0.00016	 156.14624	  -2.52103
O	  14.59200	    a	  15.09070	   0.00035	 184.91653	  -3.00228    b	  20.74294	  -0.00016	 166.51465	  -2.52244
O	  15.09200	    a	  15.09070	   0.00010	 192.46201	  -3.00058    b	  20.74224	   0.17434	 176.91307	  -1.90136
O	  15.59200	    a	  15.09070	   0.00002	 200.00749	  -3.00011    b	  20.74285	   0.17542	 187.12904	  -0.09589
O	  16.10200	    a	  15.09070	   0.00001	 207.70384	  -3.00011    b	  20.73108	   0.12288	 197.56123	   1.66027
O	  16.60800	    a	  15.09070	   0.00001	 215.33987	  -3.00011    b	  20.74289	   0.02366	 208.04289	   2.04879
O	  17.11400	    a	  15.09070	   0.00001	 222.97589	  -3.00011    b	  20.74285	   0.02366	 218.53569	   2.29731
O	  17.62000	    a	  15.09070	   0.00001	 230.61152	  -3.00011    b	  20.74288	   0.00682	 229.02845	   2.39514
O	  18.12600	    b	  20.72936	  -0.05123	 239.52455	   2.36282    a	  15.09070	   0.00001	 238.23982	  -3.00011
O	  18.63200	    b	  20.74286	  -0.24680	 249.79871	   0.36449    a	  15.09070	   0.00001	 245.86809	  -3.00011
O	  19.13800	    b	  20.73277	  -0.20103	 259.99187	  -2.12667    a	  15.09070	   0.00001	 253.49641	  -3.00011
O	  19.64400	    b	  20.74290	  -0.04543	 270.43999	  -2.96807    a	  15.10854	   0.00001	 261.13689	  -3.00011
O	  20.15000	    b	  20.74288	  -0.01076	 280.93559	  -3.15834    a	  15.11219	   0.00001	 268.78062	  -3.00011
O	  20.65600	    b	  20.74286	  -0.00024	 291.43608	  -3.20261    a	  15.10855	   0.00001	 276.42436	  -3.00011
O	  21.16200	    b	  20.74289	   0.00943	 301.93657	  -3.11121    a	  15.10369	   0.00001	 284.06810	  -3.00011
O	  21.66800	    b	  20.74289	   0.00943	 312.43706	  -3.01229    a	  15.09954	   0.00001	 291.71184	  -3.00011
O	  22.17400	    b	  20.74257	   0.00032	 322.93755	  -2.96462    a	  15.09649	   0.00001	 299.35558	  -3.00011
O	  22.68000	    b	  20.74118	   0.00032	 333.43803	  -2.96124    a	  15.09443	   0.00001	 306.99931	  -3.00011
O	  23.18600	    b	  20.73998	   0.00032	 343.93852	  -2.95786    a	  15.09307	   0.00001	 314.64305	  -3.00011
O	  23.69200	    b	  20.73879	   0.00032	 354.43901	  -2.95448    a	  15.09109	   0.00001	 322.28679	  -3.00011
